id_dtp,date_dtp,time_dtp,region_dtp,city_dtp,type_dtp,participant_dtp
0,2020-01-28,07:15,Челябинская область,Усть-Катав,2,1
0,2020-01-28,07:15,Челябинская область,Усть-Катав,0,1
0,2020-01-28,07:15,Челябинская область,Усть-Катав,2,2
0,2020-01-28,07:15,Челябинская область,Усть-Катав,0,2
0,2020-01-28,07:15,Челябинская область,Усть-Катав,2,3
0,2020-01-28,07:15,Челябинская область,Усть-Катав,0,3
0,2020-01-28,07:15,Челябинская область,Усть-Катав,2,4
0,2020-01-28,07:15,Челябинская область,Усть-Катав,0,4
0,2020-01-28,07:15,Челябинская область,Усть-Катав,2,5
0,2020-01-28,07:15,Челябинская область,Усть-Катав,0,5
2,2020-02-25,00:50,Красноярский край,Красноярск,0,8
2,2020-02-25,00:50,Красноярский край,Красноярск,1,8
2,2020-02-25,00:50,Красноярский край,Красноярск,6,8
2,2020-02-25,00:50,Красноярский край,Красноярск,0,9
2,2020-02-25,00:50,Красноярский край,Красноярск,1,9
2,2020-02-25,00:50,Красноярский край,Красноярск,6,9
2,2020-02-25,00:50,Красноярский край,Красноярск,0,10
2,2020-02-25,00:50,Красноярский край,Красноярск,1,10
2,2020-02-25,00:50,Красноярский край,Красноярск,6,10
4,2020-03-02,05:24,Еврейская АО,Биробиджан,4,12
4,2020-03-02,05:24,Еврейская АО,Биробиджан,1,12
4,2020-03-02,05:24,Еврейская АО,Биробиджан,4,13
4,2020-03-02,05:24,Еврейская АО,Биробиджан,1,13
4,2020-03-02,05:24,Еврейская АО,Биробиджан,4,14
4,2020-03-02,05:24,Еврейская АО,Биробиджан,1,14
4,2020-03-02,05:24,Еврейская АО,Биробиджан,4,15
4,2020-03-02,05:24,Еврейская АО,Биробиджан,1,15
5,2018-01-31,19:22,Магаданская область,Сусуман,5,16
5,2018-01-31,19:22,Магаданская область,Сусуман,4,16
5,2018-01-31,19:22,Магаданская область,Сусуман,8,16
5,2018-01-31,19:22,Магаданская область,Сусуман,5,17
5,2018-01-31,19:22,Магаданская область,Сусуман,4,17
5,2018-01-31,19:22,Магаданская область,Сусуман,8,17
5,2018-01-31,19:22,Магаданская область,Сусуман,5,18
5,2018-01-31,19:22,Магаданская область,Сусуман,4,18
