id_ts,id_person,type_ts,brand,model,release_year,register_number,color
0,1043,трамвай,Метровагонмаш,ZY70,1988,99351043445,синий
1,294,троллейбус,ГАЗ,NQ11,2020,85724101287,оранжевый
2,1546,грузовой автомобиль,MAZ,HX85,1993,5633745324,серебристый
3,1786,поезд,Новокузнецкий ВСЗ,AX76,1988,5078668970,серебристый
4,467,мотоцикл,Hero,DZ45,2000,4081772200,желтый
5,463,троллейбус,ГАЗ,TI00,2006,2371611988,зеленый
6,522,велосипед,Polisport,OT73,1996,NULL,розовый
7,1668,мотоцикл,Irbis,DD71,2004,98195106220,розовый
8,579,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
9,1516,троллейбус,ЛАЗ,JR69,2006,2579182207,фиолетовый
10,719,автобус,РАФ,SB43,1986,88630231081,красный
11,1840,гужевой транспорт,Собаки,NULL,NULL,NULL,NULL
12,426,гужевой транспорт,Волы,NULL,NULL,NULL,NULL
13,1500,мотоцикл,Harley-Davidson,DX76,2007,39486450410,красный
14,254,велосипед,Stern,UQ15,1988,NULL,фиолетовый
15,571,грузовой автомобиль,Тонор,JI97,1991,3075248101,синий
16,1580,автобус,РАФ,UJ05,1996,10109941041029,белый
17,768,гужевой транспорт,Мулы,NULL,NULL,NULL,NULL
18,948,трамвай,Рузхиммаш,PA97,1982,2573228848,фиолетовый
19,1462,мотоцикл,Honda,EA27,2006,41825410349,синий
20,40,легковой автомобиль,Haval,LD63,1981,09048829102,черный
21,1241,автобус,ЗИЛ,CE49,2004,103545088100,коричневый
22,1413,легковой автомобиль,Jeep,LC310,1980,510807641054,голубый
23,1107,гужевой транспорт,Овцы,NULL,NULL,NULL,NULL
24,476,грузовой автомобиль,БелАз,SD39,1988,879101093773,золотой
25,70,легковой автомобиль,Bugatti,DW39,2017,136221101033,коричневый
26,1390,велосипед,Scott,EY11,1986,NULL,белый
27,465,автобус,ГАЗ,IK94,1990,2032887565,фиолетовый
28,1889,легковой автомобиль,Mini,RT103,2000,5938058391,золотой
29,566,автобус,ЛАЗ,TG06,1980,551010912057,черный
